Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,1,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,2,1,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,2,2,9
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,3,1,26
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,3,2,24
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,4,1,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,4,2,20
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,5,1,23
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,5,2,24
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,6,1,27
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,6,2,19
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,7,1,23
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,7,2,21
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,8,1,22
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,8,2,21
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,9,1,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,9,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,10,1,19
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,10,2,15
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,11,1,28
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,11,2,27
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,12,1,20
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,12,2,22
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,13,1,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,13,2,19
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,14,1,26
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,14,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,15,1,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,15,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,16,1,22
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,16,2,16
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,17,1,13
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,17,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,18,1,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,18,2,19
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,1,1,20
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,1,2,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,2,1,17
